Number,Date,Symbol,Open,High,Low,Close,Volume,Volume USD
1,5/9/2016,ETHUSD,12,12,9.36,9.98,1317.9,12885.06
2,5/10/2016,ETHUSD,9.98,9.98,9.36,9.68,672.06,6578.2
3,5/11/2016,ETHUSD,9.68,10.47,9.68,10.43,3052.51,30978.11
4,5/12/2016,ETHUSD,10.43,12,9.92,10.2,2072.56,22183.39
5,5/13/2016,ETHUSD,10.2,11.59,10.2,10.69,1769.71,18923.55
6,5/14/2016,ETHUSD,10.69,10.98,10.01,10.25,670.55,7005.9
7,5/15/2016,ETHUSD,10.25,10.59,10.06,10.06,1433.64,14872.14
8,5/16/2016,ETHUSD,10.06,11.41,10.06,11.37,3345.92,36755.89
9,5/17/2016,ETHUSD,11.37,12.49,11.28,12.23,7240.04,86866.35
10,5/18/2016,ETHUSD,12.23,14,12.23,13.3,6130.3,80378.8
11,5/19/2016,ETHUSD,13.3,14.5,13.3,14.5,6077.46,85755.39
12,5/20/2016,ETHUSD,14.5,14.77,13.54,13.9,10944.34,156604.67
13,5/21/2016,ETHUSD,13.9,13.98,13.09,13.97,4069.43,55049.27
14,5/22/2016,ETHUSD,13.97,14.45,13.75,14.2,2865.95,40196.46
15,5/23/2016,ETHUSD,14.2,14.43,13.44,13.55,5266.88,72864.1
16,5/24/2016,ETHUSD,13.55,13.79,12.12,12.82,7947,102066.33
17,5/25/2016,ETHUSD,12.82,12.89,11.83,12.53,11737.45,147099.56
18,5/26/2016,ETHUSD,12.53,12.9,12.2,12.6,6065.53,75672.66
19,5/27/2016,ETHUSD,12.6,12.61,10.64,11.39,7755.79,87322.56
20,5/28/2016,ETHUSD,11.39,12.27,10.41,11.81,10997.83,125407.35
21,5/29/2016,ETHUSD,11.81,12.73,11.5,12.53,8275.37,99868.3
22,5/30/2016,ETHUSD,12.53,12.79,12.41,12.66,7805.15,98059.56
23,5/31/2016,ETHUSD,12.66,14.35,12.52,14.18,15674.97,212221.49
24,6/1/2016,ETHUSD,14.18,14.35,13.54,13.95,6390.06,89027.81
25,6/2/2016,ETHUSD,13.95,14.13,13.82,13.9,942.85,13180.38
